id_channel;id_video;ymd_hms_video;tweet
UCnwYO3Sz_emBTC1sTZ6TlsQ;-U806Yo21lo;2021-06-09T00:00:00Z;"New #rstats video: TidyTuesday: Filtering Basics with R Shiny
By Andrew Couch
https://www.youtube.com/watch?v=-U806Yo21lo"
UCeiiqmVK07qhY-wvg3IZiZQ;1Zj_JJYIk5o;2021-06-08T21:20:55Z;"New #rstats video: Tidy Tuesday live screencast: Analyzing Great Lakes fish in R
By David Robinson
https://www.youtube.com/watch?v=1Zj_JJYIk5o"
UCCaChdLMTYMxyawR_Qf-kYA;kUMRnS-APlc;2021-06-08T17:35:14Z;"New #rstats video: Mastering Shiny Book Club: Chapter 14: The reactive graph (2021-06-01) (mshiny01)
By R4DS Online Learning Community
https://www.youtube.com/watch?v=kUMRnS-APlc"
UCCaChdLMTYMxyawR_Qf-kYA;tXShS1PVKlY;2021-06-08T17:34:50Z;"New #rstats video: Mastering Shiny Book Club: Chapter 13: Why reactivity (2021-05-25) (mshiny01)
By R4DS Online Learning Community
https://www.youtube.com/watch?v=tXShS1PVKlY"
UCCaChdLMTYMxyawR_Qf-kYA;Vq2GKCbfpTI;2021-06-08T17:34:21Z;"New #rstats video: Mastering Shiny Book Club: the golem package (2021-05-18) (mshiny01)
By R4DS Online Learning Community
https://www.youtube.com/watch?v=Vq2GKCbfpTI"
UCCaChdLMTYMxyawR_Qf-kYA;-wG0XrZe00U;2021-06-08T17:25:22Z;"New #rstats video: Tidy Modeling with R Book Club: Chapter 7 (Fitting models with parsnip) (2021-06-07) (tmwr03)
By R4DS Online Learning Community
https://www.youtube.com/watch?v=-wG0XrZe00U"
UCCaChdLMTYMxyawR_Qf-kYA;HjFakQsuc9Y;2021-06-10T07:22:49Z;"New #rstats video: R para Ciencia de Datos Club de Lectura: Capítulo 23: Modelos - Parte 2 (2021-06-08) (r4ds_es01)
By R4DS Online Learning Community
https://www.youtube.com/watch?v=HjFakQsuc9Y"
UCCaChdLMTYMxyawR_Qf-kYA;EnHoVzJJ02c;2021-06-10T07:15:01Z;"New #rstats video: R para Ciencia de Datos Club de Lectura: Capítulos 22 y 23: Modelos-Parte 1 (2021-06-01) (r4ds_es01)
By R4DS Online Learning Community
https://www.youtube.com/watch?v=EnHoVzJJ02c"
UCCaChdLMTYMxyawR_Qf-kYA;8VSqhkP1z-A;2021-06-10T07:11:22Z;"New #rstats video: R para Ciencia de Datos Club de Lectura: Capítulo 21: Iteración - Parte 2 (2021-05-25) (r4ds_es01)
By R4DS Online Learning Community
https://www.youtube.com/watch?v=8VSqhkP1z-A"
UCCaChdLMTYMxyawR_Qf-kYA;NeHtEGab1Og;2021-06-09T20:40:40Z;"New #rstats video: Advanced R Book Club: Object oriented programming intro (2021-06-08) (advr05)
By R4DS Online Learning Community
https://www.youtube.com/watch?v=NeHtEGab1Og"
UCCaChdLMTYMxyawR_Qf-kYA;uwawZNrU-5k;2021-06-09T20:34:32Z;"New #rstats video: Mastering Shiny Book Club: Chapter 15: Reactive building blocks (2021-06-08) (mshiny01)
By R4DS Online Learning Community
https://www.youtube.com/watch?v=uwawZNrU-5k"
UCDgj5-mFohWZ5irWSFMFcng;n83elxi87Es;2021-06-11T11:40:24Z;"New #rstats video: R-Ladies Tbilisi (English) - First steps on Git using R-Studio and GitHub - Elisa Schneider
By R-Ladies Global
https://www.youtube.com/watch?v=n83elxi87Es"
UCwQ7lkY6YWzZjT807Itbvtw;84Vg7HKzd2E;2021-06-11T08:30:03Z;"New #rstats video: Episode 21: Shiny App Stories with Nick Strayer
By Shiny DeveloperSeries
https://www.youtube.com/watch?v=84Vg7HKzd2E"
UCF9ymC7Dpjwr0lge2QR_A5Q;YgoSNYdfTyg;2021-06-10T17:17:35Z;"New #rstats video: webin-R #19 : Trajectoires de soins, un exemple de données longitudinales (3)
By webin-R
https://www.youtube.com/watch?v=YgoSNYdfTyg"
UCGuktEl5InrcxPfCjmPWxsA;ym9biWqrXIY;2021-06-10T16:00:26Z;"New #rstats video: Using the R system function to run another program and create lefse LDA plots (CC114)
By Riffomonas Project
https://www.youtube.com/watch?v=ym9biWqrXIY"
UCwQ7lkY6YWzZjT807Itbvtw;36EBetIVS58;2021-06-11T19:49:44Z;"New #rstats video: More shinycal dev: calendar parsing and bootstrapping {golem}!
By Shiny DeveloperSeries
https://www.youtube.com/watch?v=36EBetIVS58"
UCMdihazndR0f9XBoSXWqnYg;RssT1HryYtI;2021-06-11T16:00:14Z;"New #rstats video: R - Latent Semantic Analysis
By Statistics of DOOM
https://www.youtube.com/watch?v=RssT1HryYtI"
UCwLy_PYrnCEhCU-Ay2F5Drw;B8COgzAVNmU;2020-12-17T20:25:04Z;"#rstats video:  Why R? Webinar 027 - Paulito Palmes - JuliaR: combining Julia and R
By Why R? Foundation
https://www.youtube.com/watch?v=B8COgzAVNmU"
UC_R5smHVXRYGhZYDJsnXTwg;fQatBdVIzOI;2020-07-08T07:48:14Z;"#rstats video:  useR! 2020: Word Embeddings & Geometric Deep Learning for Network Analysis (M. Ghisletti), lightning
By R Consortium
https://www.youtube.com/watch?v=fQatBdVIzOI"
UCMdihazndR0f9XBoSXWqnYg;kkn7nz_IXJY;2015-11-16T07:07:01Z;"#rstats video:  R - Correlation Lecture 2
By Statistics of DOOM
https://www.youtube.com/watch?v=kkn7nz_IXJY"
UCeiiqmVK07qhY-wvg3IZiZQ;13iG_HkEPVc;2019-01-29T18:29:04Z;"#rstats video:  Tidy Tuesday screencast: Analyzing US dairy consumption in R
By David Robinson
https://www.youtube.com/watch?v=13iG_HkEPVc"
UC_R5smHVXRYGhZYDJsnXTwg;IR5gAkp3YF4;2018-07-13T04:29:09Z;"#rstats video:  Data, methods, and metrics for studying student persistence
By R Consortium
https://www.youtube.com/watch?v=IR5gAkp3YF4"
UCMdihazndR0f9XBoSXWqnYg;XTN6gWWWks4;2016-05-01T06:47:00Z;"#rstats video:  R - Binary Logistic Regression Lecture & Example
By Statistics of DOOM
https://www.youtube.com/watch?v=XTN6gWWWks4"
UCeiiqmVK07qhY-wvg3IZiZQ;VJzdOacghnU;2021-06-15T00:04:43Z;"New #rstats video: ML Monday live screencast: Predicting Chopped ratings in R
By David Robinson
https://www.youtube.com/watch?v=VJzdOacghnU"
UCGuktEl5InrcxPfCjmPWxsA;EgmZuInrnNk;2021-06-14T16:00:10Z;"New #rstats video: Using functions from the ggtext R package to customize the appearance of text in figures (CC115)
By Riffomonas Project
https://www.youtube.com/watch?v=EgmZuInrnNk"
UCCaChdLMTYMxyawR_Qf-kYA;TzbrAJfPLKI;2021-06-15T20:51:02Z;"New #rstats video: PS4DS: 3: Statistical Experiments and Significance Testing (2021-06-15) (ps4ds01)
By R4DS Online Learning Community
https://www.youtube.com/watch?v=TzbrAJfPLKI"
UCCaChdLMTYMxyawR_Qf-kYA;FEOUNlB7XYA;2021-06-15T18:02:13Z;"New #rstats video: R for Data Science Book Club: Chapter 25: Many M9dels (2021-06-09) (r4ds04)
By R4DS Online Learning Community
https://www.youtube.com/watch?v=FEOUNlB7XYA"
UCDgj5-mFohWZ5irWSFMFcng;yzEHzBhrP68;2021-06-15T15:10:40Z;"New #rstats video: R-Ladies Nairobi & #NairobiR (English) - Working with Databases in R - Christopher Maronga
By R-Ladies Global
https://www.youtube.com/watch?v=yzEHzBhrP68"
UC3xfbCMLCw1Hh4dWop3XtHg;rzs6aSr4XoU;2021-06-17T13:00:19Z;"New #rstats video: Nicolas Nguyen | R in Supply Chain Management | RStudio
By RStudio
https://www.youtube.com/watch?v=rzs6aSr4XoU"
UC2-hKemnrmVCH_29duyJ26A;kjA7LwaYYfM;2021-06-16T21:26:56Z;"New #rstats video: Emil Hvitfeldt- Text Preprocessing in R
By Lander Analytics
https://www.youtube.com/watch?v=kjA7LwaYYfM"
UCCaChdLMTYMxyawR_Qf-kYA;NXmlqK2LxWw;2021-06-16T18:40:40Z;"New #rstats video: Advanced R Book Club: Chapter 14 (R6) (2021-06-15) (advr05)
By R4DS Online Learning Community
https://www.youtube.com/watch?v=NXmlqK2LxWw"
UCCaChdLMTYMxyawR_Qf-kYA;J29iQXGmw8w;2021-06-16T18:23:07Z;"New #rstats video: Tidy Modeling with R Book Club: Chapter 8 (A model workflow) (2021-06-14) (tmwr03)
By R4DS Online Learning Community
https://www.youtube.com/watch?v=J29iQXGmw8w"
UCGuktEl5InrcxPfCjmPWxsA;y6OhR6MW3Mw;2021-06-16T17:45:01Z;"New #rstats video: Juneteenth 2021: a data visualization of lynchings using R's ggplot2 package (CC116)
By Riffomonas Project
https://www.youtube.com/watch?v=y6OhR6MW3Mw"
