id_channel;name_channel;id_twitter
UCHITDNNHzEXfD8AzSFQOh9A;R-Ladies Barranquilla;
UC9oOCJe8kwkZ_6IgTmet9oQ;R-Ladies Brisbane;RLadiesBrisbane
UCztAJhENVqsqv0cvyxs4sgg;RLadies Buenos Aires;RLadiesBA
UC0NRnLaRgtYwXHg74KFVUgg;R-Ladies Cologne;rladies_cologne
UCYjjz8ANtLZNu9u4P6tHh9g;R-Ladies Ecuador;RLadiesBquilla
UCAzHeCFKu0uoRIFHRoLgoBA;R-Ladies EskişehiR;RLadiesEskisehR
UCO5Aa1E7pSh5w2pxPgkPDog;R-Ladies Gaborone;RLadiesGaborone
UCMzxf1PB54mTnWJVE8xdGlw;R-ladies Gaborone;RLadiesGaborone
UCDgj5-mFohWZ5irWSFMFcng;R-Ladies Global;RLadiesGlobal
UCIbS1KNK7jbcbQVNt7lF62A;R-Ladies Irvine;RLadiesIrvine
UCdaVFEwp9vOvqUCpbCHY7cw;R-Ladies Jakarta;RLadiesJakarta
UCrf8aQYGogbz0_7TTQVL21w;R-Ladies La Paz;RLadiesLaPaz
UCgmESmRO796bbzOxFNPtXWw;R-Ladies Lausanne;RLadiesLausanne
UCGjjzr5QxkGqPmVu4HYIyjg;R-ladies Lavras;rladieslavras
UCJlLo_WBovtoVUNXQvr3UiA;R-Ladies Lisboa;RLadiesLx
UCo0s7d_ZTrEIfjOhHC_aCGg;R-Ladies Lima;RLadiesLima
UCGDrExQGLA3A_jNAQlKBKBA;R-Ladies Madrid;RLadiesMAD
UClC5yNEjMoE3MmbK-mrV8Ow;R-Ladies Melbourne;RLadiesMelb
UCRth2ImB1T-_saYc5YBTcyA;R-Ladies Nairobi;RLadiesNairobi
UCWTFKtW_ReLP9zmMTYjRqug;R-Ladies Paris;RLadiesParis
UCoL2FUq0Yo3RcjGG0Vf2qmg;R-Ladies Perth;RLadiesPerth
UCPque9BaFV9p0hcgImrYBzg;R-Ladies Philly;RLadiesPhilly
UCFZ-jFG9a9Tx0_4EIX-L7bA;R-Ladies Puebla;RLadiesPuebla
UC71A3VDo0iIA9ryWTsbgmug;R-Ladies Rabat;RLadies_Rabat
UCGwTYiK7vTePhPpDRgQAq_A;R-Ladies Rio;RLadiesRio
UCiEloyxyXZluv7p46DGCqQQ;R-Ladies Teresina;RLadiesTeresina
UCfoktGmvJ6rnME7mSP_Ww2g;R-Ladies Tunis;RLadiesTunis
UCtuMKU3a96iqTe1b7JNfhDw;R-Ladies Urmia;RLadiesUrmia
UCX50s91yTrcu5Ap_B7JBnFg;R-Ladies Vancouver;RLadiesVan
UCxk3XVMK_-dYf8di9_AzypA;R-Ladies Xalapa;RLadiesXalapa
UCNpws2MZ2_VhABXs_BamVBA;R-Toulouse RUG;RUG_Toulouse
